NOM,NUMERO,SHAPE_LEN
Moulin-de-Vert,"0900020",4851.15336098000
Sionnet,"2600010",2606.36534722000
Saint-Gervais - Les Bergues,"2102041",1429.10842217000
Port-Choiseul,"4400062",2406.01178629000
Dorcière,"2102032",695.84776127400
Rues-Basses - Fusterie,"2101021",1500.16587056000
Rues-Basses - Longemalle,"2101022",1509.22570883000
Maison-Royale,"2121012",1840.34993920000
Château-du-Crest,"2600020",8565.11434900000
La Naz - Guillon,"0700072",2666.84481594000
Sézenove,"0700110",3098.17063690000
Maisonnex,"3000020",6405.41665201000
Pinchat - Sur-Rang,"4500011",3409.79304694000
Les Dolens,"4100040",3925.90905840000
Les Genêts,"2134050",2214.90364380000
Ariana,"2132020",2759.81511746000
Aéroport - Papillons,"3000052",3049.81388731000
Beaulieu,"2133050",1605.20166506000
Cressy - Sur-le-Beau,"1800032",1988.53206271000
La Grange,"2121020",2954.24288533000
ZI Gare - Batailles,"3000091",1978.88098463000
Seujet,"2102010",1821.59791182000
RIGOT,"2132030",1550.75056389000
Bois-de-Bay,"3800069",7263.54165355000
Château-des-Bois,"3800110",8684.69019682000
Jussy - Grands-Bois,"2600060",14058.18147450000
Jussy - Les Meurets,"2600050",10569.80866890000
Troinex - Marais,"4100030",5656.97612169000
Meinier - village,"2900020",4433.64293416000
Troinex - Dessus,"4100020",3614.75541199000
Stagni - salle communale,"1200100",2401.78843692000
ZI Bois-du-Lan,"3000170",1448.79878707000
Aéroport - fret,"2300012",4951.94352772000
Tonkin,"3400029",4072.82788650000
ZIMEYSA - Veyrot,"3000120",2458.76105704000
Le Gobé,"0600010",7102.44934968000
Mon-Repos,"2131020",3730.13962847000
Bellevue - Rives-du-Lac,"0600040",3543.45904170000
Le Bourg,"2500020",2189.90321379000
Les Allues,"2700010",5908.81080138000
Bois d'Humilly,"3300052",4372.93846099000
Covéry,"2900030",6459.88863688000
Laconnex - village,"2700030",2627.06533979000
Pinchat - La Tour,"4500012",4692.24787591000
Lancy - La Chapelle,"2800060",4185.70305861000
Communaux-d'Ambilly,"4000022",3438.42367596000
Plaine-du-Loup,"3900010",4860.95824498000
Bois-de-Veyrier,"4500072",3931.20618009000
Gradelle,"1200060",2532.53017958000
Thônex - église,"4000072",2554.56162169000
Conches - Vert-Pré,"1200022",3568.40261866000
Rasses,"4500052",3252.56306223000
Puplinge - village,"3600030",3786.29254899000
Les Jurets,"1400030",7197.50999792000
Le Bout-du-Monde,"2111080",2043.17581266000
Groubeaux,"1900030",5348.50551546000
Gy - village,"2400020",3400.66525573000
Les Crêts-de-Champel 1,"2111070",1817.29793857000
Le Lignon,"4300120",3250.89748131000
Rampe-de-Cologny,"1700020",4063.09943287000
